Replace Part BT? CR1220 in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with CR1220 from MINI-V3.SchLib
Replace Part C? CAP_0.1UF_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with CAP_0.1UF_0603_FIRE from MINI-V3.SchLib
Replace Part C? CAP_0.1UF_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with CAP_0.1UF_0603_FIRE from MINI-V3.SchLib
Replace Part C? CAP_0.1UF_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with CAP_0.1UF_0603_FIRE from MINI-V3.SchLib
Replace Part J? 20PIN-JTAG in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with 20PIN-JTAG from MINI-V3.SchLib
Replace Part L? BEAD-220/100MHZ-0603 in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with BEAD-220/100MHZ-0603 from MINI-V3.SchLib
Replace Part Q? BAT54C in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with BAT54C from MINI-V3.SchLib
Replace Part R? RES_10K_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with RES_10K_0603_FIRE from MINI-V3.SchLib
Replace Part R? RES_10K_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with RES_10K_0603_FIRE from MINI-V3.SchLib
Replace Part R? RES_10K_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with RES_10K_0603_FIRE from MINI-V3.SchLib
Replace Part R? RES_10K_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with RES_10K_0603_FIRE from MINI-V3.SchLib
Replace Part R? RES_10K_0603_FIRE in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with RES_10K_0603_FIRE from MINI-V3.SchLib
Replace Part U? STM32F103VET6 in D:\Work\Storage\Elect\Inte_Car\SupportPart.SchDoc with STM32F103VET6 from MINI-V3.SchLib
